"","Source..A.","Source..B.","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"131","@VeritasEver @amanda_pompili @mcfunny @Vbalance03 @kmerian @MsTrixter @seaglass34 @what_if_007 @Just4TheCause @kidoctr @RogueZebraTMR @jeanetteimpia @SpectrumomYeah @KarmicTimes @LilEarthling369 @Plasticdoe @RightWingBlack2 @science_guy5 @omreebt @ChrisJohnsonMD @doritmi @StopVaxxedLies @EmmaGPaley @REALITYofJNJ @Golfergirl2018 @RBuzzy1111 @MissNeminly @GeoffSchuler @AkathisiaRx @Biegenzahn @ADonatiMD @HenningTveit @DefconOneUG @FoxeoGames @MamaBear11011 @chrisvcsefalvay @SentinelM @CarolePaley @skepticalraptor @MichaelGravener @skeptical_nurse @RyanMarino @wangstar20161 @PharmaNemesis @doctorofinfo @weaponizedword1 @thereal_truther @Wallace_Noll @itsmepanda1 @MrFlu2 Miller's Review: Comparing vax rates in 34 dev nations... found a significant correlation betw infant mortality rates &amp; # of #vaccine doses infants received. Dev nations like US that require most #vaccines tend to have the highest infant mortality. Study: https://t.co/3iVcY1maFn","Negative",102,93.74,72.17,3.12,25.77,25.5,61.76,39.22,10.78,2.94,0.98,0,0.98,0,0,0,1.96,1.96,3.92,0.98,0,0.98,0,2.94,2.94,3.92,0.98,1.96,0.98,3.92,0.98,0.98,0,0.98,0,5.88,0,0.98,0,0.98,6.86,3.92,0,0.98,3.92,0.98,0.98,0,0,0,0,2.94,0,2.94,0,0,2.94,0.98,0,1.96,0,0,0.98,1.96,0,5.88,0.98,4.9,0.98,4.9,0.98,0,0,0,1.96,0.98,0,0.98,0,0,0,71.57,5.88,0,1.96,0.98,0,0,0,0,0.98,0,61.76
"132","@VeritasEver @djt10 @nocompulsoryvac @EmmaGPaley @TonyBaduy @prof_brunt @toppediatrician @MilanovNina @BlueLionBlog @DescribeSWC @RightWingBlack2 @doritmi @WendyOrent @Vbalance03 @ghoppe @xileenie @thereal_truther @GeoffSchuler @mcfunny @dkegel @jkellyca @viva__lala @rugbyrhino16 @regina1775 @chrisvcsefalvay @IntactCervix @ktibus @janem1276 @mmelgar09 @Just4TheCause @openmitochondro @MilenarioxX @xXMilenarioXx @DavidLMayhew @DansMonkeyShack @t3tragrammat0n @fiski70 @maunablissed @Apotheosis1974 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp @kenjaques @DrJenGunter Yeah don’t talk about #vaccine injured kids on social media. Not even cool bro","Negative",66,89.38,61.92,1,54.29,33,60.61,28.79,9.09,1.52,0,0,0,0,0,0,1.52,1.52,3.03,1.52,3.03,0,1.52,1.52,1.52,0,0,0,0,4.55,3.03,1.52,0,0,0,6.06,1.52,0,0,1.52,3.03,0,0,0,0,1.52,1.52,3.03,0,1.52,1.52,1.52,1.52,1.52,0,0,4.55,3.03,0,1.52,0,0,0,3.03,0,3.03,0,3.03,0,1.52,3.03,0,0,0,0,4.55,0,0,3.03,0,0,81.82,1.52,0,0,0,0,0,0,0,0,0,80.3
"133","@what_if_007 @seaglass34 @kmerian @Just4TheCause @kidoctr @RogueZebraTMR @jeanetteimpia @SpectrumomYeah @MsTrixter @Vbalance03 @KarmicTimes @LilEarthling369 @Plasticdoe @RightWingBlack2 @science_guy5 @omreebt @mcfunny @ChrisJohnsonMD @doritmi @amanda_pompili @StopVaxxedLies @EmmaGPaley @REALITYofJNJ @Golfergirl2018 @RBuzzy1111 @VeritasEver @MissNeminly @GeoffSchuler @AkathisiaRx @Biegenzahn @ADonatiMD @HenningTveit @DefconOneUG @FoxeoGames @MamaBear11011 @chrisvcsefalvay @SentinelM @CarolePaley @skepticalraptor @MichaelGravener @skeptical_nurse @RyanMarino @wangstar20161 @PharmaNemesis @doctorofinfo @weaponizedword1 @thereal_truther @Wallace_Noll @itsmepanda1 @MrFlu2 Doh &gt;""you're""&lt; btw Nope. Wrong. Majority of parents, families, &amp; patients are never allowed informed consent related to #vaccine inserts or vax ingredients. So informed vax decisions are never made re: choosing to vax. Only when #vaccines disasters occur are questions asked. 😢","Negative",102,66.07,65.27,8.46,5.16,17,64.71,40.2,15.69,1.96,0.98,0,0,0.98,0,0,0.98,0,2.94,3.92,4.9,3.92,2.94,7.84,0.98,0,1.96,0.98,0.98,5.88,0.98,2.94,0,0.98,0,7.84,1.96,0.98,0,0.98,14.71,7.84,1.96,0.98,4.9,2.94,1.96,0,0,0,0,1.96,0,1.96,0,0,5.88,1.96,0,1.96,0,1.96,3.92,3.92,0,3.92,0,0.98,2.94,1.96,1.96,0.98,0,0,0,0.98,0,0.98,0,0,0,74.51,4.9,1.96,0.98,2.94,0,0,0,1.96,0.98,0,60.78
"134","@wheresthewhit @WHO I don't need the #flushot","Negative",7,5.53,7.67,1,25.77,7,28.57,71.43,57.14,28.57,14.29,14.29,0,0,0,0,14.29,14.29,0,14.29,0,0,14.29,28.57,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,0,0,0,0,0,0,0,0,14.29,0,42.86
"135","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"136","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"137","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"138","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"139","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"140","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"141","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"142","#Child Was Removed From Family At Gunpoint Because Dad Showed The World His Son’s #Vaccine Reaction – Collective Evolution
#OPExposeCPS
#AbolishCPS
#InjuredArmy
#ParentalRights
#Health4Sale
#Customer4Life
#FollowTheMoney
#HealthFreedom
@POTUS @VP
https://t.co/4AXSCsweqG #vaxxed https://t.co/2FrddUAnNF","Negative",41,92.84,92.82,1,25.77,41,41.46,48.78,14.63,2.44,2.44,0,0,0,2.44,0,0,2.44,4.88,2.44,0,2.44,0,4.88,0,0,0,0,0,0,0,0,0,0,0,14.63,9.76,0,0,7.32,4.88,0,4.88,0,0,0,0,2.44,2.44,0,0,2.44,2.44,2.44,0,0,9.76,4.88,0,4.88,0,0,4.88,0,0,7.32,2.44,4.88,0,4.88,2.44,2.44,2.44,0,0,4.88,0,4.88,0,0,0,46.34,4.88,0,0,0,0,0,0,0,0,0,41.46
"143","#Children Who Get #Flu #Vaccine Have Three Times Risk Of Hospitalization For Flu, Study Suggests. #Science #FluShot #Vaccines #BigPharmaFraud #Asthma #ChildrensHealth #Parents #Parenting #InformedConsent #Health #News https://t.co/aZw3psQevK","Negative",31,92.84,97.31,1,1.23,15.5,41.94,67.74,12.9,3.23,0,0,0,0,0,0,3.23,0,6.45,3.23,0,0,0,6.45,0,0,3.23,3.23,0,3.23,0,3.23,3.23,0,0,19.35,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,0,16.13,0,0,19.35,6.45,0,6.45,3.23,3.23,0,6.45,0,3.23,0,0,3.23,6.45,0,0,0,0,0,3.23,0,3.23,0,0,0,61.29,6.45,3.23,0,0,0,0,0,0,0,0,51.61
"144","#Children Who Get #Flu #Vaccine Have Three Times Risk Of Hospitalization For Flu, Study Suggests. #Science #FluShot #Vaccines #BigPharmaFraud #Asthma #ChildrensHealth #Parents #Parenting #InformedConsent #Health #News https://t.co/aZw3psQevK","Negative",31,92.84,97.31,1,1.23,15.5,41.94,67.74,12.9,3.23,0,0,0,0,0,0,3.23,0,6.45,3.23,0,0,0,6.45,0,0,3.23,3.23,0,3.23,0,3.23,3.23,0,0,19.35,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,0,16.13,0,0,19.35,6.45,0,6.45,3.23,3.23,0,6.45,0,3.23,0,0,3.23,6.45,0,0,0,0,0,3.23,0,3.23,0,0,0,61.29,6.45,3.23,0,0,0,0,0,0,0,0,51.61
"145","#Children Who Get #Flu #Vaccine Have Three Times Risk Of Hospitalization For Flu, Study Suggests. #Science #FluShot #Vaccines #BigPharmaFraud #Asthma #ChildrensHealth #Parents #Parenting #InformedConsent #Health #News https://t.co/aZw3psQevK","Negative",31,92.84,97.31,1,1.23,15.5,41.94,67.74,12.9,3.23,0,0,0,0,0,0,3.23,0,6.45,3.23,0,0,0,6.45,0,0,3.23,3.23,0,3.23,0,3.23,3.23,0,0,19.35,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,0,16.13,0,0,19.35,6.45,0,6.45,3.23,3.23,0,6.45,0,3.23,0,0,3.23,6.45,0,0,0,0,0,3.23,0,3.23,0,0,0,61.29,6.45,3.23,0,0,0,0,0,0,0,0,51.61
"146","#Children Who Get #Flu #Vaccine Have Three Times Risk Of Hospitalization For Flu, Study Suggests. #Science #FluShot #Vaccines #BigPharmaFraud #Asthma #ChildrensHealth #Parents #Parenting #InformedConsent #Health #News https://t.co/aZw3psQevK","Negative",31,92.84,97.31,1,1.23,15.5,41.94,67.74,12.9,3.23,0,0,0,0,0,0,3.23,0,6.45,3.23,0,0,0,6.45,0,0,3.23,3.23,0,3.23,0,3.23,3.23,0,0,19.35,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,0,16.13,0,0,19.35,6.45,0,6.45,3.23,3.23,0,6.45,0,3.23,0,0,3.23,6.45,0,0,0,0,0,3.23,0,3.23,0,0,0,61.29,6.45,3.23,0,0,0,0,0,0,0,0,51.61
"147","#Danish #Doctor Issues Warning about #HPVvaccine: “The #Vaccine Should be Stopped Immediately!” #Health #Safety #ChildrensHealth #Teens #WomensHealth #CervicalCancer #Pregnancy #BrainHealth #VaccineDamage #Healthcare #News https://t.co/Wubz7FBEsr","Negative",29,76.59,84.96,1,25.77,29,44.83,48.28,13.79,0,0,0,0,0,0,0,0,0,3.45,6.9,6.9,0,0,10.34,0,0,0,0,0,6.9,3.45,3.45,0,0,0,10.34,3.45,0,3.45,0,3.45,0,0,3.45,0,0,0,0,0,0,0,13.79,3.45,10.34,3.45,0,17.24,0,0,6.9,0,10.34,3.45,3.45,0,6.9,0,0,6.9,3.45,0,0,0,0,0,3.45,0,3.45,0,0,0,68.97,3.45,0,3.45,0,0,3.45,0,0,0,0,58.62
"148","#Danish #Doctor Issues Warning about #HPVvaccine: “The #Vaccine Should be Stopped Immediately!” #Health #Safety #ChildrensHealth #Teens #WomensHealth #CervicalCancer #Pregnancy #BrainHealth #VaccineDamage #Healthcare #News https://t.co/Wubz7FBEsr","Negative",29,76.59,84.96,1,25.77,29,44.83,48.28,13.79,0,0,0,0,0,0,0,0,0,3.45,6.9,6.9,0,0,10.34,0,0,0,0,0,6.9,3.45,3.45,0,0,0,10.34,3.45,0,3.45,0,3.45,0,0,3.45,0,0,0,0,0,0,0,13.79,3.45,10.34,3.45,0,17.24,0,0,6.9,0,10.34,3.45,3.45,0,6.9,0,0,6.9,3.45,0,0,0,0,0,3.45,0,3.45,0,0,0,68.97,3.45,0,3.45,0,0,3.45,0,0,0,0,58.62
"149","#DengVaxia concerns lead reduction in #Filipino #vaccine confidence

https://t.co/d6O8aTR4Tc

#pharmacy #international #travel #vaccination services #mHealth #hcsm https://t.co/2GjLoPmI1R","Negative",26,95.89,50,17.46,89.84,26,50,34.62,3.85,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,3.85,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,7.69,0,3.85,0,0,3.85,0,0,0,0,0,3.85,0,3.85,0,0,7.69,0,7.69,7.69,3.85,0,0,3.85,0,15.38,7.69,7.69,0,7.69,3.85,0,0,0,0,7.69,0,7.69,0,0,0,57.69,7.69,0,0,0,0,0,0,0,0,0,50
"150","#drugs #Pharmaceuticals #vaccine https://t.co/YeO8M0lRyu","Negative",8,92.84,50,1,25.77,8,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,75,12.5,0,0,0,0,0,0,0,0,0,62.5
"151","#EU drug agency urging approval for same #vaccine that injured 800,000+ #children in #Philippines. #WakeUp #Vaccines are not meant to protect #populations, they're meant to control them! #PopulationControl #Eugenics #VaccineInjury #InformedConsent #News https://t.co/e8vhk8DEG8","Negative",38,89.9,60.39,4.05,74.74,12.67,36.84,52.63,23.68,5.26,2.63,0,0,0,0,2.63,2.63,0,10.53,5.26,0,0,2.63,10.53,2.63,2.63,0,5.26,0,2.63,2.63,0,0,0,0,7.89,0,0,0,0,10.53,5.26,2.63,0,0,0,2.63,0,0,0,0,5.26,2.63,5.26,0,0,10.53,0,0,7.89,0,2.63,5.26,5.26,0,2.63,0,2.63,0,2.63,0,0,0,0,0,2.63,0,2.63,0,0,0,55.26,5.26,5.26,0,0,0,2.63,0,0,2.63,0,39.47
"152","#EU drug agency urging approval for same #vaccine that injured 800,000+ #children in #Philippines. #WakeUp #Vaccines are not meant to protect #populations, they're meant to control them! #PopulationControl #Eugenics #VaccineInjury #InformedConsent #News https://t.co/e8vhk8DEG8","Negative",38,89.9,60.39,4.05,74.74,12.67,36.84,52.63,23.68,5.26,2.63,0,0,0,0,2.63,2.63,0,10.53,5.26,0,0,2.63,10.53,2.63,2.63,0,5.26,0,2.63,2.63,0,0,0,0,7.89,0,0,0,0,10.53,5.26,2.63,0,0,0,2.63,0,0,0,0,5.26,2.63,5.26,0,0,10.53,0,0,7.89,0,2.63,5.26,5.26,0,2.63,0,2.63,0,2.63,0,0,0,0,0,2.63,0,2.63,0,0,0,55.26,5.26,5.26,0,0,0,2.63,0,0,2.63,0,39.47
"153","#Flu #FluShot
#Health #lies
https://t.co/rh76sMANjD","Negative",9,92.84,50,1,1,9,22.22,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,77.78,11.11,0,0,0,0,0,0,0,0,0,66.67
"154","#Flu #Vaccine Causes 5.5 Times More Respiratory Infections than Unvaccinated. #FluShot #Facts #Truth #Science #Vaccination #Vaccines #Health #Healthcare #HealthRisks #VaccineDangers #BeInformed #InformedConsent #Parents #Parenting https://t.co/l0jg7Nry89 via @YouTube","Negative",31,97.26,62.65,2.96,83.22,15.5,54.84,48.39,6.45,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,6.45,6.45,0,3.23,3.23,3.23,3.23,0,0,0,0,6.45,6.45,0,0,0,12.9,0,3.23,0,0,6.45,3.23,0,0,0,0,9.68,0,9.68,0,0,6.45,6.45,0,0,0,0,0,0,0,6.45,0,3.23,3.23,3.23,3.23,0,0,0,0,3.23,0,3.23,0,0,0,67.74,6.45,0,0,0,0,0,0,0,0,0,61.29
"155","#Flu #Vaccine Causes 5.5 Times More Respiratory Infections than Unvaccinated. #FluShot #Facts #Truth #Science #Vaccination #Vaccines #Health #Healthcare #HealthRisks #VaccineDangers #BeInformed #InformedConsent #Parents #Parenting https://t.co/l0jg7Nry89 via @YouTube","Negative",31,97.26,62.65,2.96,83.22,15.5,54.84,48.39,6.45,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,6.45,6.45,0,3.23,3.23,3.23,3.23,0,0,0,0,6.45,6.45,0,0,0,12.9,0,3.23,0,0,6.45,3.23,0,0,0,0,9.68,0,9.68,0,0,6.45,6.45,0,0,0,0,0,0,0,6.45,0,3.23,3.23,3.23,3.23,0,0,0,0,3.23,0,3.23,0,0,0,67.74,6.45,0,0,0,0,0,0,0,0,0,61.29
"156","#fluoride denialism, #ADHD link, #HealthFreedom #Oregon governor, #celiac protocol, #Alzheimers coconut oil, #Pocahontas slams Warren, @CancerTruthNews Outside The Box, #Science losing trust, #Monsanto appeal, #BigPharma, #Vaccine adjuvant effects &amp; MORE! https://t.co/iFvrW87Bci","Negative",35,96.93,61.26,5.55,25.77,17.5,48.57,34.29,5.71,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,2.86,2.86,2.86,0,0,2.86,5.71,2.86,2.86,0,0,2.86,2.86,0,0,0,0,5.71,5.71,2.86,0,0,0,0,2.86,0,0,0,2.86,0,2.86,0,0,8.57,0,2.86,2.86,0,5.71,0,2.86,0,5.71,0,5.71,0,5.71,0,0,0,0,0,2.86,0,2.86,0,0,0,80,2.86,28.57,0,2.86,0,2.86,0,0,0,0,42.86
"157","#flushot #fluvaccine #pharmafraud Nice thick hoodie with a large edgy design on the front and side effects/adverse events listed on the back. Three facts about the flu vaccine: #Ineffective #toxic, #fraud Hoodie available in white and grey at https://t.co/N0sLElpezz https://t.co/RrUqCtL3fb","Negative",49,99,50,46.05,4.76,24.5,20.41,61.22,26.53,0,0,0,0,0,0,0,0,8.16,12.24,0,4.08,4.08,0,0,8.16,0,0,2.04,0,6.12,2.04,4.08,0,0,0,0,0,0,0,0,4.08,2.04,2.04,0,0,2.04,0,6.12,4.08,0,2.04,4.08,0,4.08,0,0,4.08,0,2.04,2.04,0,0,0,0,0,18.37,0,18.37,2.04,0,0,0,0,0,0,6.12,0,4.08,0,0,2.04,34.69,6.12,2.04,2.04,0,0,0,0,0,0,0,24.49
"158","#flushot #fluvaccine #pharmafraud Nice thick hoodie with a large edgy design on the front and side effects/adverse events listed on the back. Three facts about the flu vaccine: #Ineffective #toxic, #fraud Hoodie available in white and grey at https://t.co/N0sLElpezz https://t.co/RrUqCtL3fb","Negative",49,99,50,46.05,4.76,24.5,20.41,61.22,26.53,0,0,0,0,0,0,0,0,8.16,12.24,0,4.08,4.08,0,0,8.16,0,0,2.04,0,6.12,2.04,4.08,0,0,0,0,0,0,0,0,4.08,2.04,2.04,0,0,2.04,0,6.12,4.08,0,2.04,4.08,0,4.08,0,0,4.08,0,2.04,2.04,0,0,0,0,0,18.37,0,18.37,2.04,0,0,0,0,0,0,6.12,0,4.08,0,0,2.04,34.69,6.12,2.04,2.04,0,0,0,0,0,0,0,24.49
"159","#flushot = #badmedicine
""An excellent analysis and perspective on considerations of ""relative and absolute risk reduction"" by Lisa Moore:

""This year's flu shot is predicted to be 20% effective. So let's assume that... https://t.co/mp8v5Kidr3","Negative",37,75.57,70.57,21.26,25.77,12.33,32.43,64.86,35.14,8.11,2.7,0,2.7,0,0,0,5.41,2.7,10.81,5.41,2.7,8.11,0,8.11,0,0,0,2.7,0,5.41,2.7,2.7,2.7,0,0,2.7,0,0,0,0,13.51,10.81,2.7,0,2.7,2.7,0,0,0,0,0,2.7,0,2.7,0,0,8.11,2.7,2.7,0,0,2.7,0,8.11,2.7,5.41,0,2.7,0,5.41,0,0,0,0,0,2.7,0,2.7,0,0,0,48.65,13.51,0,2.7,0,0,0,0,10.81,5.41,0,16.22
"160","#flushot and polio-like paralysis. https://t.co/l47QY9Nwq8","Negative",10,92.84,50,1,25.77,5,30,40,20,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,60,20,0,0,0,0,0,10,0,0,0,30
"161","#FluShot Causes Minneapolis Woman To Have Shoulder Surgery. #Health #Healthcare #Vaccines #VaccineInjury #InformedConsent #News https://t.co/SpP2oIrsBm via @prepforthat1","Negative",21,96.41,68.29,1,25.77,10.5,47.62,42.86,14.29,0,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,0,14.29,4.76,9.52,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,57.14,9.52,0,0,0,0,0,0,0,0,0,47.62
"162","#FluShot Causes Minneapolis Woman To Have Shoulder Surgery. #Health #Healthcare #Vaccines #VaccineInjury #InformedConsent #News https://t.co/SpP2oIrsBm via @prepforthat1","Negative",21,96.41,68.29,1,25.77,10.5,47.62,42.86,14.29,0,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,0,14.29,4.76,9.52,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,57.14,9.52,0,0,0,0,0,0,0,0,0,47.62
