Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"@TonyBaduy @nocompulsoryvac @mcfunny @EmmaGPaley @jjfox123 @VeritasEver @WendyOrent @djrazorgirl @DescribeSWC @toppediatrician @MilanovNina @RightWingBlack2 @doritmi @Vbalance03 @ghoppe @BlueLionBlog @xileenie @Joshua1_5 @thereal_truther @djt10 @GeoffSchuler @weaponizedword1 @dkegel @viva__lala @rugbyrhino16 @regina1775 @chrisvcsefalvay @IntactCervix @ktibus @janem1276 @mmelgar09 @Just4TheCause @openmitochondro @MilenarioxX @itsmepanda1 @xXMilenarioXx @DavidLMayhew @lifebiomedguru @DansMonkeyShack @Gardeniagal4 @t3tragrammat0n @LynnleeMavakay @fiski70 @maunablissed @Apotheosis1974 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp @kenjaques There is certainly a small population who fail to mount a complete &amp; persistent immune response to the measles #vaccine. These are the same people who would fail to mount a complete &amp; persistent immune response to measles infection. Herd immunity protects them.",99,92.84,65.71,1.00,4.86,33.00,58.59,44.44,19.19,5.05,1.01,0.00,0.00,0.00,0.00,1.01,4.04,6.06,4.04,4.04,1.01,0.00,0.00,4.04,2.02,1.01,2.02,1.01,0.00,6.06,2.02,4.04,0.00,1.01,2.02,4.04,0.00,0.00,0.00,0.00,7.07,0.00,2.02,1.01,0.00,4.04,0.00,2.02,0.00,2.02,0.00,4.04,0.00,4.04,0.00,0.00,6.06,0.00,4.04,3.03,0.00,3.03,0.00,3.03,0.00,2.02,0.00,2.02,0.00,2.02,4.04,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.66,3.03,0.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,60.61
"@WendyOrent @VeritasEver @BlueLionBlog @prof_brunt @itsmepanda1 @nocompulsoryvac @toppediatrician @DescribeSWC @TonyBaduy @MilanovNina @RightWingBlack2 @doritmi @Vbalance03 @ghoppe @xileenie @Joshua1_5 @thereal_truther @djt10 @GeoffSchuler @mcfunny @weaponizedword1 @dkegel @viva__lala @rugbyrhino16 @regina1775 @chrisvcsefalvay @IntactCervix @ktibus @janem1276 @mmelgar09 @Just4TheCause @openmitochondro @MilenarioxX @xXMilenarioXx @DavidLMayhew @lifebiomedguru @EmmaGPaley @DansMonkeyShack @Gardeniagal4 @t3tragrammat0n @LynnleeMavakay @fiski70 @maunablissed @Apotheosis1974 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp @kenjaques @DrJenGunter The first use of AAHS was in Merck's Recombivax Hep B #vaccine, approved in 1986. AAHS itself is hardly novel - it's just a pH-neutral form of alum, whose safe use dates back to the 1920s. Adjuvant without antigen *is* placebo, regardless of what amateur laypeople want to believe",106,90.81,46.23,1.00,42.91,35.33,51.89,40.57,21.70,4.72,0.00,0.00,0.00,0.00,0.00,0.00,4.72,3.77,7.55,4.72,2.83,0.00,0.94,8.49,0.94,0.00,1.89,2.83,0.00,4.72,2.83,1.89,0.00,0.94,0.00,0.94,0.00,0.00,0.00,0.00,7.55,0.94,1.89,1.89,0.94,0.94,0.94,0.94,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,4.72,0.00,0.94,2.83,0.00,0.94,0.94,7.55,0.00,5.66,0.00,3.77,2.83,0.94,3.77,0.94,0.00,0.00,0.00,0.94,0.00,0.94,0.00,0.00,0.00,66.04,1.89,2.83,0.00,0.00,0.00,0.00,1.89,0.00,1.89,0.00,57.55
"Tomorrow is #WorldPolioDay 💧
Thanks to #vaccines we often forget the awful consequences of #polio &amp; #vaccine confidence is decreasing. Are we taking things for granted? 
Something not only to worry about but also act on! 💉
🔖NEW Study: https://t.co/dGrV0XUg6v
#VaccinesWork https://t.co/hIyGrGexZY",48,66.38,58.24,7.84,25.77,12.00,25.00,64.58,39.58,8.33,4.17,0.00,4.17,0.00,0.00,0.00,4.17,2.08,12.50,6.25,8.33,4.17,2.08,14.58,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,2.08,0.00,0.00,4.17,0.00,0.00,0.00,0.00,12.50,0.00,2.08,0.00,4.17,2.08,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.42,4.17,2.08,2.08,4.17,2.08,0.00,12.50,2.08,8.33,0.00,2.08,6.25,2.08,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,35.42,6.25,0.00,2.08,2.08,2.08,2.08,0.00,0.00,0.00,0.00,20.83
"Tomorrow is #WorldPolioDay 💧
Thanks to #vaccines we often forget the awful consequences of #polio &amp; #vaccine confidence is decreasing. Are we taking things for granted? 
Something not only to worry about but also act on! 💉
🔖NEW Study: https://t.co/dGrV0XUg6v
#VaccinesWork https://t.co/hIyGrGexZY",48,66.38,58.24,7.84,25.77,12.00,25.00,64.58,39.58,8.33,4.17,0.00,4.17,0.00,0.00,0.00,4.17,2.08,12.50,6.25,8.33,4.17,2.08,14.58,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,2.08,0.00,0.00,4.17,0.00,0.00,0.00,0.00,12.50,0.00,2.08,0.00,4.17,2.08,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.42,4.17,2.08,2.08,4.17,2.08,0.00,12.50,2.08,8.33,0.00,2.08,6.25,2.08,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,35.42,6.25,0.00,2.08,2.08,2.08,2.08,0.00,0.00,0.00,0.00,20.83
"Tomorrow is #WorldPolioDay 💧
Thanks to #vaccines we often forget the awful consequences of #polio &amp; #vaccine confidence is decreasing. Are we taking things for granted? 
Something not only to worry about but also act on! 💉
🔖NEW Study: https://t.co/dGrV0XUg6v
#VaccinesWork https://t.co/hIyGrGexZY",48,66.38,58.24,7.84,25.77,12.00,25.00,64.58,39.58,8.33,4.17,0.00,4.17,0.00,0.00,0.00,4.17,2.08,12.50,6.25,8.33,4.17,2.08,14.58,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,2.08,0.00,0.00,4.17,0.00,0.00,0.00,0.00,12.50,0.00,2.08,0.00,4.17,2.08,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.42,4.17,2.08,2.08,4.17,2.08,0.00,12.50,2.08,8.33,0.00,2.08,6.25,2.08,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,35.42,6.25,0.00,2.08,2.08,2.08,2.08,0.00,0.00,0.00,0.00,20.83
"How much #vaccine confidence do we have? What about our #doctors? How is the delivery of #vaccination services in the #EU organised?

New reports published today 👉https://t.co/jBKiiJEmBB 

#EUVaccines #VaccinesWork https://t.co/dADq4HDruB",38,63.17,85.38,4.05,74.74,9.50,34.21,63.16,34.21,7.89,5.26,0.00,5.26,0.00,0.00,0.00,2.63,5.26,7.89,7.89,7.89,5.26,0.00,7.89,2.63,0.00,7.89,0.00,2.63,2.63,2.63,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,7.89,0.00,5.26,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,2.63,0.00,2.63,0.00,0.00,10.53,5.26,2.63,5.26,2.63,0.00,0.00,10.53,0.00,10.53,2.63,2.63,5.26,10.53,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,39.47,5.26,0.00,0.00,0.00,7.89,0.00,0.00,0.00,0.00,0.00,26.32
"BLOG: @NIAIDNews director Dr. Anthony Fauci kicks off @HIVR4Px with a plenary lecture on the development and implementation of new and improved #HIVPrevention tools. Latest advances in #HIV #vaccine, #antibody science also featured: https://t.co/0iY9XIQWB1 

#HIVR4P2018 https://t.co/oLG1VBySmm",46,97.28,50.00,9.25,66.89,23.00,36.96,47.83,21.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,10.87,0.00,2.17,6.52,0.00,0.00,4.35,2.17,0.00,2.17,0.00,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,2.17,2.17,0.00,6.52,0.00,4.35,2.17,2.17,0.00,0.00,0.00,0.00,13.04,2.17,6.52,4.35,8.70,2.17,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,39.13,8.70,2.17,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.91
"Unsure which #flu vaccine dosage to give to your patients with #RA? The high-dose #vaccine may be the better option. Findings from #ACR18 show the high-dose was linked to greater odds of H3N2, B Victoria Lin, and H1N1 seroconversion. 

Here is the latest: https://t.co/urmzWDcfJp https://t.co/7B69rZahnL",56,95.70,70.40,4.35,59.59,14.00,16.07,66.07,32.14,3.57,1.79,0.00,0.00,1.79,0.00,0.00,1.79,7.14,10.71,7.14,1.79,1.79,0.00,8.93,8.93,5.36,1.79,0.00,0.00,5.36,3.57,1.79,1.79,0.00,0.00,3.57,0.00,0.00,0.00,0.00,8.93,3.57,0.00,0.00,5.36,0.00,0.00,1.79,1.79,0.00,0.00,7.14,0.00,7.14,0.00,0.00,8.93,0.00,3.57,5.36,3.57,1.79,1.79,5.36,1.79,7.14,0.00,5.36,1.79,0.00,0.00,0.00,0.00,0.00,0.00,5.36,0.00,5.36,0.00,0.00,0.00,32.14,7.14,3.57,1.79,0.00,1.79,0.00,3.57,0.00,0.00,0.00,14.29
"@SupremeCourtIND 
 FACT: We can sue a #pharmaceutical company. 
CLARIFY: can we sue #vaccine companies?
@ANI 
@News18Northeast 
@PMOIndia
Whose  vaccines in #India 
#Assam 
#kerala
@ndtv
@NITIAayog
#",25,72.80,99.00,1.59,91.14,8.33,40.00,52.00,28.00,12.00,8.00,0.00,8.00,0.00,0.00,0.00,4.00,4.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,8.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,4.00,0.00,4.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,4.00,0.00,8.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,48.00
"How much #vaccine confidence do we have? What about our #doctors? How is the delivery of #vaccination services in the #EU organised?

New reports published today 👉https://t.co/jBKiiJEmBB 

#EUVaccines #VaccinesWork https://t.co/dADq4HDruB",38,63.17,85.38,4.05,74.74,9.50,34.21,63.16,34.21,7.89,5.26,0.00,5.26,0.00,0.00,0.00,2.63,5.26,7.89,7.89,7.89,5.26,0.00,7.89,2.63,0.00,7.89,0.00,2.63,2.63,2.63,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,7.89,0.00,5.26,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,2.63,0.00,2.63,0.00,0.00,10.53,5.26,2.63,5.26,2.63,0.00,0.00,10.53,0.00,10.53,2.63,2.63,5.26,10.53,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,39.47,5.26,0.00,0.00,0.00,7.89,0.00,0.00,0.00,0.00,0.00,26.32
October is the perfect time to get your #flu #vaccine. Did you know influenza is still the number one infectious cause of hospitalizations and death in #NewBrunswick? Learn more at https://t.co/moDBJ8PcT1 https://t.co/Q7UfAqswDC,40,90.06,84.14,27.99,72.57,13.33,22.50,70.00,32.50,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,10.00,7.50,2.50,2.50,0.00,15.00,5.00,2.50,0.00,2.50,2.50,2.50,2.50,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,10.00,5.00,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,7.50,0.00,7.50,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,2.50,15.00,0.00,12.50,0.00,5.00,7.50,2.50,0.00,0.00,0.00,0.00,2.50,5.00,0.00,5.00,0.00,0.00,0.00,27.50,7.50,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,17.50
"Unsure which #flu vaccine dosage to give to your patients with #RA? The high-dose #vaccine may be the better option. Findings from #ACR18 show the high-dose was linked to greater odds of H3N2, B Victoria Lin, and H1N1 seroconversion. 

Here is the latest: https://t.co/urmzWDcfJp https://t.co/7B69rZahnL",56,95.70,70.40,4.35,59.59,14.00,16.07,66.07,32.14,3.57,1.79,0.00,0.00,1.79,0.00,0.00,1.79,7.14,10.71,7.14,1.79,1.79,0.00,8.93,8.93,5.36,1.79,0.00,0.00,5.36,3.57,1.79,1.79,0.00,0.00,3.57,0.00,0.00,0.00,0.00,8.93,3.57,0.00,0.00,5.36,0.00,0.00,1.79,1.79,0.00,0.00,7.14,0.00,7.14,0.00,0.00,8.93,0.00,3.57,5.36,3.57,1.79,1.79,5.36,1.79,7.14,0.00,5.36,1.79,0.00,0.00,0.00,0.00,0.00,0.00,5.36,0.00,5.36,0.00,0.00,0.00,32.14,7.14,3.57,1.79,0.00,1.79,0.00,3.57,0.00,0.00,0.00,14.29
"Increasing demand for vaccines are the major factors driving the growth of the needles market across the globe.
To Know More @ https://t.co/O8CvIw1MUz
#vaccines #vaccine #Medical #hospital #diagnostics #Plastic #steel https://t.co/7AAsPIXEO7",39,99.00,50.00,17.46,25.77,19.50,33.33,53.85,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,10.26,2.56,0.00,0.00,0.00,5.13,2.56,2.56,0.00,2.56,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,2.56,0.00,0.00,2.56,0.00,0.00,0.00,5.13,0.00,10.26,7.69,2.56,0.00,2.56,0.00,0.00,2.56,0.00,0.00,5.13,0.00,5.13,0.00,0.00,0.00,38.46,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.77
"#HIV #vaccine enters human efficacy trials | #science #health #technology https://t.co/bbN2vz5hl9",14,92.84,76.25,1.06,25.77,14.00,35.71,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,64.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.14
"#FLUSHOT #VACCINE #HEALTH #WARNING
5 Flu Vaccine Myths Everyone Should Know 
https://t.co/SU1xbRYvyQ https://t.co/cq59R05jAU",21,78.35,68.29,1.00,1.00,21.00,33.33,38.10,9.52,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,0.00,9.52,0.00,0.00,0.00,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,14.29,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,9.52,0.00,9.52,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,9.52,0.00,0.00,0.00,47.62,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.10
Five #Flu #Vaccine Myths Everyone Should Know https://t.co/zj8faPcCCt https://t.co/aw2j5s0XJY,17,73.36,72.17,1.00,25.77,17.00,23.53,41.18,11.76,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,11.76,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,17.65,5.88,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,11.76,0.00,0.00,0.00,47.06,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.29
"If you and your #doctor suspect a #vaccine injury, time is of the essence. There are strict deadlines regarding the statute of limitations on vaccine injury claims. Don’t risk it - contact us today. https://t.co/cPqdMNWsz1 https://t.co/t4d1cw4KaJ",43,78.82,87.75,2.60,3.52,10.75,25.58,69.77,39.53,9.30,6.98,0.00,2.33,4.65,0.00,0.00,2.33,6.98,9.30,6.98,2.33,4.65,2.33,6.98,2.33,0.00,0.00,0.00,0.00,2.33,0.00,2.33,2.33,0.00,0.00,9.30,0.00,2.33,0.00,0.00,4.65,2.33,0.00,2.33,2.33,0.00,2.33,0.00,0.00,0.00,0.00,6.98,4.65,6.98,0.00,0.00,9.30,2.33,2.33,2.33,0.00,2.33,0.00,9.30,0.00,6.98,0.00,2.33,4.65,4.65,0.00,0.00,0.00,0.00,0.00,4.65,0.00,4.65,0.00,0.00,0.00,32.56,11.63,2.33,0.00,0.00,0.00,0.00,2.33,0.00,2.33,0.00,13.95
"7 out of 10 countries with the lowest #vaccine #confidence are in Europe &amp; 4  of them (France, Greece, Italy, and Slovenia) are in #EU

@V_Andriukaitis statement 👉https://t.co/m6rW21XyjS 
Reports published today 👉https://t.co/jBKiiJEmBB

#VaccinesWork #EUVaccines https://t.co/2TXkozqPAL",48,97.17,58.24,14.24,25.77,48.00,27.08,43.75,22.92,2.08,2.08,0.00,0.00,0.00,0.00,2.08,0.00,2.08,12.50,4.17,0.00,2.08,0.00,4.17,2.08,2.08,0.00,6.25,0.00,4.17,2.08,2.08,0.00,0.00,2.08,2.08,0.00,0.00,0.00,0.00,4.17,2.08,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,2.08,4.17,2.08,0.00,0.00,6.25,0.00,12.50,0.00,10.42,2.08,4.17,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,47.92,6.25,6.25,0.00,2.08,0.00,0.00,0.00,0.00,0.00,4.17,29.17
"@PutinThanks @realDonaldTrump @ToyotaCenter Guess you haven't been listening to POTUS. Not a big surprise to me. You can't.  You're too low i.q. and #vaccine injured. Poor brain.",28,13.85,36.03,74.76,1.00,4.67,25.00,82.14,50.00,17.86,17.86,7.14,0.00,10.71,0.00,0.00,0.00,3.57,7.14,10.71,3.57,3.57,10.71,17.86,7.14,0.00,0.00,0.00,0.00,10.71,3.57,7.14,0.00,0.00,3.57,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,3.57,0.00,10.71,3.57,0.00,3.57,0.00,7.14,7.14,3.57,0.00,0.00,10.71,0.00,0.00,10.71,0.00,0.00,3.57,14.29,0.00,7.14,0.00,7.14,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,14.29
"Low #vaccine confidence in Europe raising disease outbreak risk | “Need for EU action"" says Health Commissioner @V_Andriukaitis

“7 out of the 10 countries with the lowest vaccine confidence in the world are in Europe”

#VaccinesWork

https://t.co/uoWbjPQIxn",41,99.00,59.64,40.20,3.09,41.00,29.27,58.54,26.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,17.07,2.44,0.00,0.00,0.00,7.32,2.44,2.44,0.00,4.88,0.00,12.20,4.88,7.32,2.44,0.00,4.88,2.44,0.00,0.00,0.00,0.00,7.32,0.00,0.00,2.44,0.00,4.88,0.00,2.44,0.00,2.44,0.00,4.88,0.00,4.88,0.00,0.00,12.20,0.00,4.88,9.76,4.88,2.44,0.00,7.32,0.00,21.95,2.44,19.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,2.44,0.00,0.00,0.00,29.27,2.44,0.00,0.00,0.00,0.00,0.00,0.00,9.76,0.00,0.00,17.07
"#Vaccine confidence #low in #Europe, raising #disease outbreak risk
https://t.co/38LdIUpBdj https://t.co/iBxT7yY7u0",19,96.69,50.00,4.05,1.00,19.00,36.84,36.84,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,5.26,10.53,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,15.79,0.00,5.26,10.53,5.26,5.26,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,0.00,57.89,10.53,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.11
"Tomorrow is #WorldPolioDay 💧
Thanks to #vaccines we often forget the awful consequences of #polio &amp; #vaccine confidence is decreasing. Are we taking things for granted? 
Something not only to worry about but also act on! 💉
🔖NEW Study: https://t.co/dGrV0XUg6v
#VaccinesWork https://t.co/hIyGrGexZY",48,66.38,58.24,7.84,25.77,12.00,25.00,64.58,39.58,8.33,4.17,0.00,4.17,0.00,0.00,0.00,4.17,2.08,12.50,6.25,8.33,4.17,2.08,14.58,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,2.08,0.00,0.00,4.17,0.00,0.00,0.00,0.00,12.50,0.00,2.08,0.00,4.17,2.08,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.42,4.17,2.08,2.08,4.17,2.08,0.00,12.50,2.08,8.33,0.00,2.08,6.25,2.08,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,35.42,6.25,0.00,2.08,2.08,2.08,2.08,0.00,0.00,0.00,0.00,20.83
"Low #vaccine confidence in Europe raising disease outbreak risk | “Need for EU action"" says Health Commissioner @V_Andriukaitis

“7 out of the 10 countries with the lowest vaccine confidence in the world are in Europe”

#VaccinesWork

https://t.co/uoWbjPQIxn",41,99.00,59.64,40.20,3.09,41.00,29.27,58.54,26.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,17.07,2.44,0.00,0.00,0.00,7.32,2.44,2.44,0.00,4.88,0.00,12.20,4.88,7.32,2.44,0.00,4.88,2.44,0.00,0.00,0.00,0.00,7.32,0.00,0.00,2.44,0.00,4.88,0.00,2.44,0.00,2.44,0.00,4.88,0.00,4.88,0.00,0.00,12.20,0.00,4.88,9.76,4.88,2.44,0.00,7.32,0.00,21.95,2.44,19.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,2.44,0.00,0.00,0.00,29.27,2.44,0.00,0.00,0.00,0.00,0.00,0.00,9.76,0.00,0.00,17.07
"#RiftValleyFever | We expect that a #vaccine will become available within a few years, to prevent future mortality, animal suffering and economic damage. https://t.co/hZl4q8xiXH https://t.co/9tNe0x9l5W",35,89.60,71.61,1.94,1.00,17.50,22.86,57.14,25.71,5.71,2.86,0.00,2.86,0.00,0.00,0.00,2.86,5.71,5.71,5.71,0.00,2.86,0.00,8.57,2.86,0.00,0.00,0.00,2.86,5.71,0.00,5.71,0.00,0.00,2.86,2.86,0.00,0.00,0.00,0.00,5.71,2.86,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,2.86,0.00,0.00,0.00,2.86,0.00,2.86,8.57,8.57,0.00,2.86,5.71,2.86,0.00,0.00,2.86,0.00,2.86,5.71,0.00,5.71,0.00,0.00,0.00,34.29,8.57,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
"#FLUSHOT #VACCINE #HEALTH #WARNING
5 Flu Vaccine Myths Everyone Should Know 
https://t.co/SU1xbRYvyQ https://t.co/cq59R05jAU",21,78.35,68.29,1.00,1.00,21.00,33.33,38.10,9.52,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,0.00,9.52,0.00,0.00,0.00,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,14.29,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,9.52,0.00,9.52,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,9.52,0.00,0.00,0.00,47.62,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.10
"Low #vaccine confidence in Europe raising disease outbreak risk | “Need for EU action"" says Health Commissioner @V_Andriukaitis

“7 out of the 10 countries with the lowest vaccine confidence in the world are in Europe”

#VaccinesWork

https://t.co/uoWbjPQIxn",41,99.00,59.64,40.20,3.09,41.00,29.27,58.54,26.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,17.07,2.44,0.00,0.00,0.00,7.32,2.44,2.44,0.00,4.88,0.00,12.20,4.88,7.32,2.44,0.00,4.88,2.44,0.00,0.00,0.00,0.00,7.32,0.00,0.00,2.44,0.00,4.88,0.00,2.44,0.00,2.44,0.00,4.88,0.00,4.88,0.00,0.00,12.20,0.00,4.88,9.76,4.88,2.44,0.00,7.32,0.00,21.95,2.44,19.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,2.44,0.00,0.00,0.00,29.27,2.44,0.00,0.00,0.00,0.00,0.00,0.00,9.76,0.00,0.00,17.07
